"Measure ID","Measure Name","Condition","Category","Score","Footnote","Start Date","End Date"
ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",Emergency Department,ED2,103,"25, 26",07/01/2018,06/30/2019
ED_2b_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,120,"25, 26",07/01/2018,06/30/2019
ED_2b_LOW_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,62,"25, 26",07/01/2018,06/30/2019
ED_2b_MEDIUM_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,99,"25, 26",07/01/2018,06/30/2019
ED_2b_NINETIETH,"Top ten percent time patients spent in the emergency department, after the doctor decided to admit them as inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,31,"25, 26",07/01/2018,06/30/2019
ED_2b_VERY_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,138,"25, 26",07/01/2018,06/30/2019
IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,Preventive Care,Healthcare workers given influenza vaccination,90,,10/01/2018,03/31/2019
OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Emergency Department,OP-18,141,"25, 26",07/01/2018,06/30/2019
OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,176,"25, 26",07/01/2018,06/30/2019
OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,113,"25, 26",07/01/2018,06/30/2019
OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,141,"25, 26",07/01/2018,06/30/2019
OP_18b_NINETIETH,Top ten percent time patients spent in the emergency department before being sent home A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,93,"25, 26",07/01/2018,06/30/2019
OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,169,"25, 26",07/01/2018,06/30/2019
OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,Emergency Department,OP-18,240,25,07/01/2018,06/30/2019
OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,301,25,07/01/2018,06/30/2019
OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,175,25,07/01/2018,06/30/2019
OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,222,25,07/01/2018,06/30/2019
OP_18c_NINETIETH,Top ten percent time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients. A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,118,25,07/01/2018,06/30/2019
OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,324,25,07/01/2018,06/30/2019
OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,58,"25, 26",07/01/2018,06/30/2019
OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,2,,01/01/2018,12/31/2018
OP_22_NINETIETH,Top ten percent patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,0,,01/01/2018,12/31/2018
OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Emergency Department,Head CT results,72,25,07/01/2018,06/30/2019
OP_23_NINETIETH,Top ten percent patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Emergency Department,Head CT results,100,25,07/01/2018,06/30/2019
OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,89,26,01/01/2018,12/31/2018
OP_29_NINETIETH,Top ten percent patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100,,01/01/2018,12/31/2018
OP_2_NINETIETH,Top ten percent outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,100,"25, 26",07/01/2018,06/30/2019
OP_30,Percentage of patients with history of polyps receiving follow-up colonoscopy in the appropriate timeframe Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,93,26,01/01/2018,12/31/2018
OP_30_NINETIETH,Top ten percent patients with history of polyps receiving follow-up colonoscopy in the appropriate timeframe Higher percentages are better,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100,,01/01/2018,12/31/2018
OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Cataract surgery outcome,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,98,,01/01/2018,12/31/2018
OP_31_NINETIETH,Top ten percent patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Cataract surgery outcome,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,100,,01/01/2018,12/31/2018
OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,Cancer care,External Beam Radiotherapy for Bone Metastases,89,26,01/01/2018,12/31/2018
OP_33_NINETIETH,Top ten percent patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,Cancer care,External Beam Radiotherapy for Bone Metastases,100,,01/01/2018,12/31/2018
OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,58,"25, 26",07/01/2018,06/30/2019
OP_3b_NINETIETH,Top ten percent number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,36,"25, 26",07/01/2018,06/30/2019
PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",2,26,07/01/2018,06/30/2019
PC_01_NINETIETH,"Top ten percent mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessary Lower percentages are better",Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0,26,07/01/2018,06/30/2019
SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,Sepsis Care,Appropriate care for severe sepsis and septic shock,59,,07/01/2018,06/30/2019
SEP_1_NINETIETH,Top ten percent patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,Sepsis Care,Appropriate care for severe sepsis and septic shock,81,,07/01/2018,06/30/2019
SEP_SH_3HR,Septic Shock 3-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,85,,01/01/2019,06/30/2019
SEP_SH_3HR_NINETIETH,Top Ten Percent Septic Shock 3-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,100,,01/01/2019,06/30/2019
SEP_SH_6HR,Septic Shock 6-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,68,,01/01/2019,06/30/2019
SEP_SH_6HR_NINETIETH,Top Ten Percent Septic Shock 6-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,100,,01/01/2019,06/30/2019
SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,79,,01/01/2019,06/30/2019
SEV_SEP_3HR_NINETIETH,Top Ten Percent Severe Sepsis 3-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,94,,01/01/2019,06/30/2019
SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,88,,01/01/2019,06/30/2019
SEV_SEP_6HR_NINETIETH,Top Ten Percent Severe Sepsis 6-Hour Bundle,Sepsis Care,Appropriate care for severe sepsis and septic shock,100,,01/01/2019,06/30/2019
